Goal,Target,Indicator,SeriesCode,Country,Time,Val,ValType,Age,Freq,Location,Nature,Sex,Units,ValueType
12,12.2,12.2.1,EN_MAT_FTPRPG,Lao PDR,2001,3.68,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Kyrgyzstan,2006,14.18,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Bhutan,2008,4.92,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Turkmenistan,2008,2.83,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Uzbekistan,2008,8.22,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Afghanistan,2008,3.93,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Southern Asia (excluding India),2008,3.68,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Southern Asia,2008,3.68,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Kazakhstan,2008,3.98,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Tajikistan,2008,3.83,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Kyrgyzstan,2008,14.12,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Haiti,2008,2.61,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,World,2008,1.28,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Northern America and Europe,2008,0.76,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Bangladesh,2008,3.28,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Central African Republic,2001,4.95,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Middle Africa,2001,2.53,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Zimbabwe,2001,2.05,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Guatemala,2001,1.66,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Costa Rica,2001,1.54,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,El Salvador,2001,1.96,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Trinidad and Tobago,2001,0.63,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Central America,2001,1.25,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Belize,2001,2.88,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Honduras,2001,2.78,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,"Macedonia, Republic of",2001,2.36,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Austria,2001,0.75,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,"Macedonia, Republic of",2008,3.29,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Western Asia,2001,1.22,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Armenia,2001,2.88,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Cyprus,2001,1.41,Float,All,A,T,C,Total,Kg,P
12,12.2,12.2.1,EN_MAT_FTPRPG,Bahrain,2001,0.88,Float,All,A,T,C,Total,Kg,P
